,ts_code,trade_time,open,high,low,close,vol,amount,trade_date,pre_close
112,000001.SZ,2013-01-04 13:08:00,16.05,16.06,16.03,16.04,149189.0,2393932.0,20130104,16.05
113,000001.SZ,2013-01-04 13:07:00,16.03,16.05,16.03,16.05,157100.0,2520675.0,20130104,16.03
114,000001.SZ,2013-01-04 13:06:00,16.0,16.03,16.0,16.03,45100.0,722319.0,20130104,16.0
115,000001.SZ,2013-01-04 13:05:00,16.01,16.01,16.0,16.0,18611.0,297899.0,20130104,16.01
116,000001.SZ,2013-01-04 13:04:00,16.03,16.04,16.01,16.01,42000.0,672789.0,20130104,16.03
117,000001.SZ,2013-01-04 13:03:00,16.0,16.03,16.0,16.03,80156.0,1283719.0,20130104,16.01
118,000001.SZ,2013-01-04 13:02:00,16.01,16.01,16.0,16.01,28385.0,454321.0,20130104,16.01
119,000001.SZ,2013-01-04 13:01:00,16.01,16.02,16.0,16.01,608431.0,9752062.0,20130104,16.02
120,000001.SZ,2013-01-04 11:30:00,16.01,16.02,16.0,16.02,11746.0,188042.0,20130104,16.0
121,000001.SZ,2013-01-04 11:29:00,16.01,16.01,16.0,16.0,30900.0,494491.0,20130104,16.01
122,000001.SZ,2013-01-04 11:28:00,16.0,16.01,16.0,16.01,65800.0,1052831.0,20130104,16.0
123,000001.SZ,2013-01-04 11:27:00,16.0,16.01,15.98,16.0,790800.0,12652783.0,20130104,16.0
124,000001.SZ,2013-01-04 11:26:00,16.01,16.01,16.0,16.0,64300.0,1028983.0,20130104,16.01
125,000001.SZ,2013-01-04 11:25:00,16.03,16.03,16.01,16.01,23645.0,378637.0,20130104,16.02
126,000001.SZ,2013-01-04 11:24:00,16.01,16.02,16.0,16.02,25496.0,408255.0,20130104,16.01
127,000001.SZ,2013-01-04 11:23:00,16.01,16.02,16.01,16.01,81670.0,1307607.0,20130104,16.01
128,000001.SZ,2013-01-04 11:22:00,16.01,16.01,16.0,16.01,91900.0,1471331.0,20130104,16.01
129,000001.SZ,2013-01-04 11:21:00,15.98,16.01,15.98,16.01,175400.0,2803636.0,20130104,15.96
130,000001.SZ,2013-01-04 11:20:00,15.95,15.96,15.95,15.96,96992.0,1547365.0,20130104,15.95
131,000001.SZ,2013-01-04 11:19:00,15.95,15.96,15.92,15.95,381995.0,6092060.0,20130104,15.95
132,000001.SZ,2013-01-04 11:18:00,15.95,15.95,15.93,15.95,126605.0,2018703.0,20130104,15.95
133,000001.SZ,2013-01-04 11:17:00,15.95,15.95,15.93,15.95,209809.0,3344638.0,20130104,15.95
134,000001.SZ,2013-01-04 11:16:00,15.95,15.96,15.94,15.95,171895.0,2742256.0,20130104,15.96
135,000001.SZ,2013-01-04 11:15:00,15.96,15.97,15.95,15.96,193510.0,3088870.0,20130104,15.96
136,000001.SZ,2013-01-04 11:14:00,15.95,15.97,15.95,15.96,181500.0,2898046.0,20130104,15.95
137,000001.SZ,2013-01-04 11:13:00,16.0,16.0,15.95,15.95,175700.0,2807281.0,20130104,16.0
138,000001.SZ,2013-01-04 11:12:00,16.0,16.01,15.98,16.0,156004.0,2495526.0,20130104,16.0
139,000001.SZ,2013-01-04 11:11:00,16.01,16.01,16.0,16.0,599291.0,9589090.0,20130104,16.01
140,000001.SZ,2013-01-04 11:10:00,16.02,16.02,16.01,16.01,163209.0,2613559.0,20130104,16.04
141,000001.SZ,2013-01-04 11:09:00,16.03,16.04,16.02,16.04,53301.0,854522.0,20130104,16.04
142,000001.SZ,2013-01-04 11:08:00,16.04,16.04,16.03,16.04,37700.0,604430.0,20130104,16.03
143,000001.SZ,2013-01-04 11:07:00,16.04,16.04,16.03,16.03,44000.0,705685.0,20130104,16.04
144,000001.SZ,2013-01-04 11:06:00,16.04,16.05,16.03,16.04,47244.0,757540.0,20130104,16.04
145,000001.SZ,2013-01-04 11:05:00,16.04,16.04,16.02,16.04,73132.0,1172619.0,20130104,16.04
146,000001.SZ,2013-01-04 11:04:00,16.03,16.04,16.02,16.04,70359.0,1127344.0,20130104,16.02
147,000001.SZ,2013-01-04 11:03:00,16.03,16.04,16.02,16.02,101455.0,1626059.0,20130104,16.03
148,000001.SZ,2013-01-04 11:02:00,16.04,16.05,16.03,16.03,55100.0,883403.0,20130104,16.03
149,000001.SZ,2013-01-04 11:01:00,16.04,16.04,16.03,16.03,49039.0,786568.0,20130104,16.04
150,000001.SZ,2013-01-04 11:00:00,16.04,16.05,16.04,16.04,60000.0,962688.0,20130104,16.06
151,000001.SZ,2013-01-04 10:59:00,16.04,16.06,16.03,16.06,165361.0,2652837.0,20130104,16.04
152,000001.SZ,2013-01-04 10:58:00,16.05,16.06,16.04,16.04,72446.0,1162670.0,20130104,16.05
153,000001.SZ,2013-01-04 10:57:00,16.07,16.07,16.05,16.05,48955.0,786150.0,20130104,16.07
154,000001.SZ,2013-01-04 10:56:00,16.06,16.07,16.06,16.07,55399.0,890039.0,20130104,16.06
155,000001.SZ,2013-01-04 10:55:00,16.06,16.07,16.04,16.06,85376.0,1370289.0,20130104,16.06
156,000001.SZ,2013-01-04 10:54:00,16.07,16.08,16.06,16.06,44700.0,718082.0,20130104,16.07
157,000001.SZ,2013-01-04 10:53:00,16.08,16.08,16.06,16.07,308160.0,4955064.0,20130104,16.08
158,000001.SZ,2013-01-04 10:52:00,16.08,16.08,16.04,16.08,207081.0,3323610.0,20130104,16.06
159,000001.SZ,2013-01-04 10:51:00,16.08,16.08,16.06,16.06,103400.0,1661033.0,20130104,16.08
160,000001.SZ,2013-01-04 10:50:00,16.11,16.11,16.08,16.08,241882.0,3890983.0,20130104,16.11
161,000001.SZ,2013-01-04 10:49:00,16.15,16.15,16.1,16.11,73960.0,1192363.0,20130104,16.15
162,000001.SZ,2013-01-04 10:48:00,16.13,16.15,16.13,16.15,25757.0,415645.0,20130104,16.12
163,000001.SZ,2013-01-04 10:47:00,16.1,16.13,16.1,16.12,64683.0,1042593.0,20130104,16.12
164,000001.SZ,2013-01-04 10:46:00,16.11,16.12,16.1,16.12,28400.0,457384.0,20130104,16.12
165,000001.SZ,2013-01-04 10:45:00,16.11,16.12,16.1,16.12,86700.0,1397269.0,20130104,16.11
166,000001.SZ,2013-01-04 10:44:00,16.11,16.12,16.09,16.11,71620.0,1153315.0,20130104,16.1
167,000001.SZ,2013-01-04 10:43:00,16.1,16.12,16.1,16.1,48767.0,785547.0,20130104,16.12
168,000001.SZ,2013-01-04 10:42:00,16.12,16.15,16.12,16.12,57000.0,919959.0,20130104,16.12
169,000001.SZ,2013-01-04 10:41:00,16.13,16.14,16.12,16.12,74233.0,1198088.0,20130104,16.13
170,000001.SZ,2013-01-04 10:40:00,16.09,16.13,16.09,16.13,257192.0,4142424.0,20130104,16.1
171,000001.SZ,2013-01-04 10:39:00,16.09,16.1,16.08,16.1,107083.0,1722973.0,20130104,16.09
172,000001.SZ,2013-01-04 10:38:00,16.08,16.1,16.08,16.09,340516.0,5480809.0,20130104,16.09
173,000001.SZ,2013-01-04 10:37:00,16.09,16.09,16.07,16.09,74599.0,1199668.0,20130104,16.09
174,000001.SZ,2013-01-04 10:36:00,16.11,16.11,16.08,16.09,86300.0,1387888.0,20130104,16.08
175,000001.SZ,2013-01-04 10:35:00,16.1,16.11,16.05,16.08,332700.0,5349303.0,20130104,16.1
176,000001.SZ,2013-01-04 10:34:00,16.13,16.13,16.09,16.1,79100.0,1274125.0,20130104,16.13
